timestamp,heart_rate,spo2,systolic_bp,diastolic_bp,respiratory_rate,label
0000,80.39,96.30,125.16,79.27,16.60,normal
0060,80.89,96.29,124.49,78.84,16.64,normal
0120,81.26,96.25,123.76,78.58,16.72,normal
0180,81.47,96.18,123.06,78.50,16.85,normal
0240,81.48,96.08,122.48,78.63,16.99,normal
0300,81.29,95.97,122.11,78.94,17.14,normal
0360,80.92,95.86,122.00,79.40,17.26,normal
0420,80.43,95.78,122.16,79.94,17.35,normal
0480,79.88,95.72,122.56,80.49,17.40,normal
0540,79.35,95.70,123.17,80.97,17.39,normal
0600,78.90,95.72,123.88,81.32,17.32,normal
0660,78.61,95.78,124.61,81.49,17.22,normal
0720,78.50,95.87,125.26,81.46,17.08,normal
0780,78.60,95.98,125.73,81.23,16.93,normal
0840,78.88,96.09,125.98,80.84,16.80,normal
0900,134.32,82.18,160.95,98.33,28.68,anomaly
0960,134.85,82.26,160.66,97.78,28.62,anomaly
1020,135.40,82.30,160.15,97.26,28.60,anomaly
1080,135.90,82.29,159.48,96.84,28.64,anomaly
1140,136.27,82.25,158.74,96.57,28.73,anomaly
1200,136.47,82.18,158.04,96.50,28.85,anomaly
1260,136.48,82.08,157.47,96.63,28.99,anomaly
1320,136.28,81.97,157.11,96.95,29.14,anomaly
1380,135.91,81.86,157.00,97.41,29.27,anomaly
1440,135.42,81.78,157.16,97.95,29.36,anomaly
1500,134.87,81.72,157.57,98.50,29.40,anomaly
1560,134.34,81.70,158.18,98.97,29.39,anomaly
1620,133.90,81.72,158.89,99.32,29.32,anomaly
1680,133.60,81.78,159.62,99.49,29.21,anomaly
1740,133.50,81.87,160.27,99.45,29.08,anomaly
1800,133.60,81.98,160.74,99.22,28.93,anomaly
1860,133.89,82.09,160.98,98.83,28.79,anomaly
1920,134.33,82.19,160.95,98.32,28.68,anomaly
1980,134.86,82.26,160.66,97.77,28.62,anomaly
2040,135.41,82.30,160.14,97.25,28.60,anomaly
2100,135.90,82.29,159.47,96.83,28.64,anomaly
2160,136.28,82.25,158.73,96.57,28.73,anomaly
2220,136.47,82.18,158.03,96.50,28.85,anomaly
2280,136.47,82.08,157.47,96.64,29.00,anomaly
2340,136.27,81.97,157.11,96.96,29.14,anomaly
2400,135.90,81.86,157.00,97.42,29.27,anomaly
2460,135.41,81.77,157.17,97.96,29.36,anomaly
2520,134.86,81.72,157.58,98.50,29.40,anomaly
2580,134.33,81.70,158.19,98.98,29.39,anomaly
2640,133.89,81.72,158.91,99.33,29.32,anomaly
2700,133.60,81.78,159.64,99.49,29.21,anomaly
2760,133.50,81.87,160.28,99.45,29.07,anomaly
2820,133.60,81.98,160.75,99.22,28.93,anomaly
2880,133.90,82.09,160.98,98.82,28.79,anomaly
2940,134.34,82.19,160.95,98.31,28.68,anomaly
3000,134.87,82.26,160.65,97.76,28.62,anomaly
3060,135.42,82.30,160.13,97.24,28.60,anomaly
3120,135.91,82.29,159.45,96.82,28.64,anomaly
3180,136.28,82.25,158.72,96.57,28.73,anomaly
3240,136.48,82.17,158.02,96.50,28.86,anomaly
3300,136.47,82.07,157.46,96.64,29.00,anomaly
3360,136.27,81.96,157.10,96.97,29.14,anomaly
3420,135.89,81.86,157.00,97.43,29.27,anomaly
3480,135.40,81.77,157.17,97.97,29.36,anomaly
3540,134.85,81.72,157.59,98.51,29.40,anomaly
