timestamp,heart_rate,spo2,systolic_bp,diastolic_bp,respiratory_rate,label
0000,78.39,97.30,123.16,77.27,15.60,normal
0060,78.89,97.29,122.49,76.84,15.64,normal
0120,79.26,97.25,121.76,76.58,15.72,normal
0180,79.47,97.18,121.06,76.50,15.85,normal
0240,79.48,97.08,120.48,76.63,15.99,normal
0300,79.29,96.97,120.11,76.94,16.14,normal
0360,78.92,96.86,120.00,77.40,16.26,normal
0420,78.43,96.78,120.16,77.94,16.35,normal
0480,77.88,96.72,120.56,78.49,16.40,normal
0540,77.35,96.70,121.17,78.97,16.39,normal
0600,76.90,96.72,121.88,79.32,16.32,normal
0660,76.61,96.78,122.61,79.49,16.22,normal
0720,76.50,96.87,123.26,79.46,16.08,normal
0780,76.60,96.98,123.73,79.23,15.93,normal
0840,76.88,97.09,123.98,78.84,15.80,normal
0900,77.32,97.18,123.95,78.33,15.68,normal
0960,77.85,97.26,123.66,77.78,15.62,normal
1020,78.40,97.30,123.15,77.26,15.60,normal
1080,78.90,97.29,122.48,76.84,15.64,normal
1140,79.27,97.25,121.74,76.57,15.73,normal
1200,107.47,92.18,139.04,86.50,21.85,anomaly
1260,107.48,92.08,138.47,86.63,21.99,anomaly
1320,107.28,91.97,138.11,86.95,22.14,anomaly
1380,106.91,91.86,138.00,87.41,22.27,anomaly
1440,106.42,91.78,138.16,87.95,22.36,anomaly
1500,105.87,91.72,138.57,88.50,22.40,anomaly
1560,105.34,91.70,139.18,88.97,22.39,anomaly
1620,104.90,91.72,139.89,89.32,22.32,anomaly
1680,104.60,91.78,140.62,89.49,22.21,anomaly
1740,104.50,91.87,141.27,89.45,22.08,anomaly
1800,104.60,91.98,141.74,89.22,21.93,anomaly
1860,104.89,92.09,141.98,88.83,21.79,anomaly
1920,105.33,92.19,141.95,88.32,21.68,anomaly
1980,105.86,92.26,141.66,87.77,21.62,anomaly
2040,106.41,92.30,141.14,87.25,21.60,anomaly
2100,106.90,92.29,140.47,86.83,21.64,anomaly
2160,107.28,92.25,139.73,86.57,21.73,anomaly
2220,107.47,92.18,139.03,86.50,21.85,anomaly
2280,107.47,92.08,138.47,86.64,22.00,anomaly
2340,107.27,91.97,138.11,86.96,22.14,anomaly
2400,106.90,91.86,138.00,87.42,22.27,anomaly
2460,106.41,91.77,138.17,87.96,22.36,anomaly
2520,105.86,91.72,138.58,88.50,22.40,anomaly
2580,105.33,91.70,139.19,88.98,22.39,anomaly
2640,104.89,91.72,139.91,89.33,22.32,anomaly
2700,104.60,91.78,140.64,89.49,22.21,anomaly
2760,104.50,91.87,141.28,89.45,22.07,anomaly
2820,104.60,91.98,141.75,89.22,21.93,anomaly
2880,104.90,92.09,141.98,88.82,21.79,anomaly
2940,105.34,92.19,141.95,88.31,21.68,anomaly
3000,105.87,92.26,141.65,87.76,21.62,anomaly
3060,106.42,92.30,141.13,87.24,21.60,anomaly
3120,106.91,92.29,140.45,86.82,21.64,anomaly
3180,107.28,92.25,139.72,86.57,21.73,anomaly
3240,107.48,92.17,139.02,86.50,21.86,anomaly
3300,107.47,92.07,138.46,86.64,22.00,anomaly
3360,107.27,91.96,138.10,86.97,22.14,anomaly
3420,106.89,91.86,138.00,87.43,22.27,anomaly
3480,106.40,91.77,138.17,87.97,22.36,anomaly
3540,105.85,91.72,138.59,88.51,22.40,anomaly
